0,0,0,0,Black
1,122,122,122,Code Value 272
2,180,180,180,Code Value 341
3,254,254,254,Code Value 409
4,299,299,299,Code Value 443
5,348,348,348,Code Value 476
6,375,375,375,Code Value 494
7,401,401,401,Code Value 509
8,431,431,431,Code Value 525
9,461,461,461,Code Value 539
10,495,495,495,Code Value 555
11,529,529,529,Code Value 572
12,567,567,567,Code Value 587
13,605,605,605,Code Value 602
14,647,647,647,Code Value 618
15,690,690,690,Code Value 635
16,738,738,738,Code Value 651
17,786,786,786,Code Value 666
18,840,840,840,Code Value 682
19,895,895,895,Code Value 696
20,1023,1023,1023,Code Value 1023
